[2025-03-19 14:46:33.893814] [ALLOWED] [ALLOWED] 142.250.194.131:443 --> 172.16.48.135:53185 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 14:46:34.213516] [ALLOWED] [ALLOWED] 172.16.48.135:53185 --> 142.250.194.131:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 14:46:34.555514] [ALLOWED] [ALLOWED] 172.16.48.135:53185 --> 142.250.194.131:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 14:46:34.931296] [ALLOWED] [ALLOWED] 172.16.48.135:53185 --> 142.250.194.131:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 14:46:35.231765] [ALLOWED] [ALLOWED] 142.250.194.131:443 --> 172.16.48.135:53185 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 14:46:35.544859] [ALLOWED] [ALLOWED] 172.16.48.135:53185 --> 142.250.194.131:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:04.039900] [ALLOWED] [ALLOWED] 172.16.48.135:56832 --> 216.58.200.170:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:04.373091] [ALLOWED] [ALLOWED] 216.58.200.170:443 --> 172.16.48.135:56832 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:04.686844] [ALLOWED] [ALLOWED] 172.16.48.135:60908 --> 8.8.8.8:53 | Protocol: UDP | Location: Private IP -> Mountain View, California, US (AS15169 Google LLC)
[2025-03-19 15:10:05.002547] [ALLOWED] [ALLOWED] 8.8.8.8:53 --> 172.16.48.135:60908 | Protocol: UDP | Location: Mountain View, California, US (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:05.316639] [ALLOWED] [ALLOWED] 172.16.48.135:59957 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:05.617072] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59957 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:06.023815] [ALLOWED] [ALLOWED] 172.16.48.135:59957 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:06.397770] [ALERT] [ALERT] Suspicious Packet: 172.16.48.135:59957 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC) | Details: Suspicious payload detected: (?:\x00\x00\x00\x00\x00\x00\x00\x00)
[2025-03-19 15:10:06.687601] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59957 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:07.026510] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59957 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:07.438704] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59957 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:07.835346] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59957 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:08.178224] [ALLOWED] [ALLOWED] 172.16.48.135:59957 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:08.501905] [ALLOWED] [ALLOWED] 172.16.48.135:59957 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:08.871901] [ALLOWED] [ALLOWED] 172.16.48.135:59957 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:09.180281] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59957 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:09.488737] [ALLOWED] [ALLOWED] 142.250.182.170:443 --> 172.16.48.135:52630 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:09.831609] [ALLOWED] [ALLOWED] 172.16.48.135:52630 --> 142.250.182.170:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:10.193414] [ALLOWED] [ALLOWED] 172.16.48.135:56832 --> 216.58.200.170:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:10.612220] [ALLOWED] [ALLOWED] 216.58.200.170:443 --> 172.16.48.135:56832 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:11.023852] [ALLOWED] [ALLOWED] 216.58.200.170:443 --> 172.16.48.135:56832 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:11.430377] [ALLOWED] [ALLOWED] 172.16.48.135:56832 --> 216.58.200.170:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:11.860394] [ALLOWED] [ALLOWED] 172.16.48.135:60637 --> 142.250.194.174:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:12.242366] [ALLOWED] [ALLOWED] 142.250.194.174:443 --> 172.16.48.135:60637 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:12.661231] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59957 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:12.963409] [ALLOWED] [ALLOWED] 172.16.48.135:59957 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:13.282240] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59957 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:13.567583] [ALLOWED] [ALLOWED] 172.16.48.135:59957 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:13.931320] [ALLOWED] [ALLOWED] 172.16.48.135:59958 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:14.238989] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59958 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:14.594086] [ALLOWED] [ALLOWED] 172.16.48.135:59958 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:15.017452] [ALERT] [ALERT] Suspicious Packet: 172.16.48.135:59958 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC) | Details: Suspicious payload detected: (?:\x00\x00\x00\x00\x00\x00\x00\x00)
[2025-03-19 15:10:15.415846] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59958 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:15.806284] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59958 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:16.118015] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59958 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:16.450484] [ALLOWED] [ALLOWED] 172.16.48.135:59958 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:16.741910] [ALLOWED] [ALLOWED] 172.16.48.135:59958 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:17.153870] [ALLOWED] [ALLOWED] 172.16.48.135:59958 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:17.576167] [ALLOWED] [ALLOWED] 172.16.48.135:56832 --> 216.58.200.170:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:17.993325] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59958 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:18.384281] [ALLOWED] [ALLOWED] 216.58.200.170:443 --> 172.16.48.135:56832 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:18.401562] [ALLOWED] [ALLOWED] 172.16.49.242:5353 --> 224.0.0.251:5353 | Protocol: UDP | Location: Private IP -> Multicast
[2025-03-19 15:10:18.790777] [ALLOWED] [ALLOWED] 172.16.48.135:56832 --> 216.58.200.170:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:19.181101] [ALLOWED] [ALLOWED] 216.58.200.170:443 --> 172.16.48.135:56832 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:19.498240] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59958 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:19.958315] [ALLOWED] [ALLOWED] 172.16.48.135:59958 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:20.457936] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59958 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:20.773016] [ALLOWED] [ALLOWED] 172.16.48.135:59958 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:21.151229] [ALLOWED] [ALLOWED] 172.16.48.135:59959 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:21.447061] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59959 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:21.788404] [ALLOWED] [ALLOWED] 172.16.48.135:59959 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:22.188103] [ALERT] [ALERT] Suspicious Packet: 172.16.48.135:59959 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC) | Details: Suspicious payload detected: (?:\x00\x00\x00\x00\x00\x00\x00\x00)
[2025-03-19 15:10:23.304237] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59959 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:23.622199] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59959 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:23.935009] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59959 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:24.333054] [ALLOWED] [ALLOWED] 172.16.48.135:59959 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:24.632249] [ALLOWED] [ALLOWED] 172.16.48.135:59959 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:25.049127] [ALLOWED] [ALLOWED] 172.16.48.135:59959 --> 34.117.59.81:443 | Protocol: TCP | Location: Private IP -> Kansas City, Missouri, US (AS396982 Google LLC)
[2025-03-19 15:10:25.460774] [ALLOWED] [ALLOWED] 34.117.59.81:443 --> 172.16.48.135:59959 | Protocol: TCP | Location: Kansas City, Missouri, US (AS396982 Google LLC) -> Private IP
[2025-03-19 15:10:25.820058] [ALLOWED] [ALLOWED] 172.172.255.217:443 --> 172.16.48.135:49412 | Protocol: TCP | Location: Sterling, Virginia, US (AS8075 Microsoft Corporation) -> Private IP
[2025-03-19 15:10:25.839762] [ALLOWED] [ALLOWED] 172.16.7.119:5353 --> 224.0.0.251:5353 | Protocol: UDP | Location: Private IP -> Multicast
[2025-03-19 15:10:25.846054] [ALLOWED] [ALLOWED] 172.16.7.119:5353 --> 224.0.0.251:5353 | Protocol: UDP | Location: Private IP -> Multicast
[2025-03-19 15:10:26.180418] [ALLOWED] [ALLOWED] 172.16.48.135:49412 --> 172.172.255.217:443 | Protocol: TCP | Location: Private IP -> Sterling, Virginia, US (AS8075 Microsoft Corporation)
[2025-03-19 15:10:26.592573] [ALLOWED] [ALLOWED] 172.172.255.217:443 --> 172.16.48.135:49412 | Protocol: TCP | Location: Sterling, Virginia, US (AS8075 Microsoft Corporation) -> Private IP
[2025-03-19 15:10:26.997753] [ALLOWED] [ALLOWED] 172.16.48.135:56832 --> 216.58.200.170:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:10:27.408448] [ALLOWED] [ALLOWED] 216.58.200.170:443 --> 172.16.48.135:56832 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:10:27.717562] [ALLOWED] [ALLOWED] 172.16.48.135:59733 --> 57.144.177.32:443 | Protocol: TCP | Location: Private IP -> Mumbai, Maharashtra, IN (AS32934 Facebook, Inc.)
[2025-03-19 15:10:28.037192] [ALLOWED] [ALLOWED] 172.16.48.135:59734 --> 57.144.147.32:443 | Protocol: TCP | Location: Private IP -> Delhi, Delhi, IN (AS32934 Facebook, Inc.)
[2025-03-19 15:19:40.550551] [ALLOWED] [ALLOWED] 192.168.0.111:64418 --> 142.250.182.170:443 | Protocol: UDP | Location: Private IP -> Delhi, Delhi, IN (AS15169 Google LLC)
[2025-03-19 15:19:40.558843] [ALLOWED] [ALLOWED] 192.168.0.111:55963 --> 192.168.0.1:53 | Protocol: UDP | Location: Private IP -> Private IP
[2025-03-19 15:19:40.904946] [ALLOWED] [ALLOWED] 142.250.182.170:443 --> 192.168.0.111:64418 | Protocol: UDP | Location: Delhi, Delhi, IN (AS15169 Google LLC) -> Private IP
[2025-03-19 15:19:40.912143] [ALLOWED] [ALLOWED] 172.16.7.109:37020 --> 239.255.255.250:37020 | Protocol: UDP | Location: Private IP -> Multicast
[2025-03-19 15:19:40.914899] [ALLOWED] [ALLOWED] 192.168.160.58:37020 --> 239.255.255.250:37020 | Protocol: UDP | Location: Private IP -> Multicast
[2025-03-19 15:19:40.921380] [ALLOWED] [ALLOWED] 192.168.160.58:N/A --> 239.255.255.250:N/A | Protocol: Other | Location: Private IP -> Multicast
