Blocked Port: 100.29.175.103:443 -> 172.16.63.134:63166 | Protocol: TCP
Blocked Port: 172.16.51.50:36249 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.60.197:41204 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.51.52:42314 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.62.213:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.61.200:39525 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.59.198:41428 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 8.8.8.8:443 -> 172.16.63.134:52844 | Protocol: UDP
Blocked Port: 8.8.8.8:443 -> 172.16.63.134:52844 | Protocol: UDP
Blocked Port: 8.8.8.8:443 -> 172.16.63.134:52844 | Protocol: UDP
Blocked Port: 8.8.8.8:443 -> 172.16.63.134:52844 | Protocol: UDP
Blocked Port: 8.8.8.8:443 -> 172.16.63.134:52844 | Protocol: UDP
Blocked Port: 8.8.8.8:443 -> 172.16.63.134:52844 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 10.10.91.157:53164 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
