2025-03-18 13:38:11.044115 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:11.044115 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:11.212814 - 10.10.90.94 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:11.311341 - 10.10.90.113 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:11.465462 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:11.471513 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:11.626517 - 10.10.90.200 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:11.626517 - 192.168.160.58 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:11.626517 - 192.168.160.57 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:11.634990 - 192.168.160.59 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:11.728911 - 172.16.14.132 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:11.828484 - 172.16.14.133 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:11.931355 - 192.168.161.87 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:11.933353 - 192.168.161.97 -> 239.255.255.250 | Protocol: UDP | Port: 37020
2025-03-18 13:38:12.040799 - 10.10.91.155 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:12.088786 - 172.16.63.134 -> 142.250.192.238 | Protocol: UDP | Port: 443
2025-03-18 13:38:12.092291 - 142.250.192.238 -> 172.16.63.134 | Protocol: UDP | Port: 52739
2025-03-18 13:38:12.226757 - 172.16.62.117 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:12.242055 - 172.16.62.117 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:12.275242 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:12.275242 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:12.326283 - 172.16.62.28 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:12.538406 - 10.10.91.157 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:12.643508 - 10.10.91.154 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:12.743099 - 10.10.90.97 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:13.257477 - 10.10.90.152 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:13.469569 - 172.16.62.226 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:13.541004 - 172.16.63.134 -> 35.190.10.96 | Protocol: TCP | Port: 443
2025-03-18 13:38:13.551665 - 35.190.10.96 -> 172.16.63.134 | Protocol: TCP | Port: 52429
2025-03-18 13:38:13.577328 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:13.578332 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:13.770514 - 10.10.90.100 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:13.787278 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:13.792911 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:13.890886 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:13.909955 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:13.976200 - 10.10.90.91 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:14.009065 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.031103 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:14.076110 - 10.10.90.131 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:14.158255 - 172.16.63.134 -> 8.8.8.8 | Protocol: UDP | Port: 53
2025-03-18 13:38:14.158255 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.158255 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.164698 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.166103 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.183252 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 57730
2025-03-18 13:38:14.183252 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.183252 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.183252 - 172.16.63.134 -> 96.17.168.98 | Protocol: TCP | Port: 80
2025-03-18 13:38:14.183252 - 96.17.168.98 -> 172.16.63.134 | Protocol: TCP | Port: 53667
2025-03-18 13:38:14.193365 - 172.16.63.134 -> 96.17.168.98 | Protocol: TCP | Port: 80
2025-03-18 13:38:14.195641 - 172.16.63.134 -> 96.17.168.98 | Protocol: TCP | Port: 80
2025-03-18 13:38:14.210501 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.213890 - 96.17.168.98 -> 172.16.63.134 | Protocol: TCP | Port: 53667
2025-03-18 13:38:14.216963 - 96.17.168.98 -> 172.16.63.134 | Protocol: TCP | Port: 53667
2025-03-18 13:38:14.219084 - 96.17.168.98 -> 172.16.63.134 | Protocol: TCP | Port: 53667
2025-03-18 13:38:14.220095 - 172.16.63.134 -> 96.17.168.98 | Protocol: TCP | Port: 80
2025-03-18 13:38:14.221092 - 172.16.63.134 -> 96.17.168.98 | Protocol: TCP | Port: 80
2025-03-18 13:38:14.226125 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.228104 - 96.17.168.98 -> 172.16.63.134 | Protocol: TCP | Port: 53667
